x,y,z,cell_type,volume
157.5,30.0,-7.5,MCF7_core,774.6907181267056
157.5,30.0,7.5,MCF7_core,1142.2022866174036
157.5,50.0,-7.5,MCF7_core,3644.4053937836566
157.5,50.0,7.5,MCF7_core,4221.961838821294
172.5,-50.0,-7.5,MCF7_core,345.9935643199778
172.5,-50.0,7.5,MCF7_core,2053.9387237729115
172.5,-30.0,-7.5,MCF7_core,679.740630102605
172.5,-30.0,7.5,MCF7_core,1351.4083487436492
172.5,-10.0,-7.5,MCF7_core,1185.6719445269223
172.5,-10.0,7.5,MCF7_core,2992.2356669578007
172.5,10.0,-7.5,MCF7_core,1734.5763629678177
172.5,10.0,7.5,MCF7_core,1013.9118389055706
172.5,30.0,-7.5,MCF7_core,2384.71805478888
172.5,30.0,7.5,MCF7_core,416.35784229767876
172.5,50.0,-7.5,MCF7_core,677.2858783929806
172.5,50.0,7.5,MCF7_core,4439.3193835536595
187.5,-50.0,-7.5,MCF7_core,1094.6286804222536
187.5,-50.0,7.5,MCF7_core,1769.6027665009296
187.5,-30.0,-7.5,MCF7_core,3351.230498734284
187.5,-30.0,7.5,MCF7_core,3803.736971107047
187.5,-10.0,-7.5,MCF7_core,4143.5802464478065
187.5,-10.0,7.5,MCF7_core,967.7264449320435
187.5,10.0,-7.5,MCF7_core,3101.2614614370286
187.5,10.0,7.5,MCF7_core,4347.374039122488
187.5,30.0,-7.5,MCF7_core,495.52439163558904
187.5,30.0,7.5,MCF7_core,3116.360325072504
187.5,50.0,-7.5,MCF7_core,3833.8311923761134
187.5,50.0,7.5,MCF7_core,1700.7367116649807
202.5,-50.0,-7.5,MCF7_core,1312.2641811010167
202.5,-50.0,7.5,MCF7_core,2779.676150031609
202.5,-30.0,-7.5,MCF7_core,2124.723040077355
202.5,-30.0,7.5,MCF7_core,990.5996501772202
202.5,-10.0,-7.5,MCF7_core,2248.9974349252416
202.5,-10.0,7.5,MCF7_core,1987.3168965089
202.5,10.0,-7.5,MCF7_core,2662.324193035043
202.5,10.0,7.5,MCF7_core,2405.7628314395524
202.5,30.0,-7.5,MCF7_core,1569.868755040677
202.5,30.0,7.5,MCF7_core,1763.6517038461966
202.5,50.0,-7.5,MCF7_core,3800.9158470895977
202.5,50.0,7.5,MCF7_core,1313.3043123128969
217.5,-50.0,-7.5,MCF7_core,2626.232807895171
217.5,-50.0,7.5,MCF7_core,302.1275045725272
217.5,-30.0,-7.5,MCF7_core,3393.5270453457315
217.5,-30.0,7.5,MCF7_core,1673.6190076565783
217.5,-10.0,-7.5,MCF7_core,443.1439934313729
217.5,-10.0,7.5,MCF7_core,1440.288439652953
217.5,10.0,-7.5,MCF7_core,1267.5049031021756
217.5,10.0,7.5,MCF7_core,4290.477775001902
217.5,30.0,-7.5,MCF7_core,1742.7659357134485
217.5,30.0,7.5,MCF7_core,1469.944783408165
217.5,50.0,-7.5,MCF7_core,1772.341236116434
217.5,50.0,7.5,MCF7_core,4264.091362022326
232.5,-50.0,-7.5,MCF7_core,2936.364143966381
232.5,-50.0,7.5,MCF7_core,2882.641610054026
232.5,-30.0,-7.5,MCF7_core,3283.4829214081146
232.5,-30.0,7.5,MCF7_core,1894.5154742779616
232.5,-10.0,-7.5,MCF7_core,2006.4493866978733
232.5,-10.0,7.5,MCF7_core,3008.8011694241304
232.5,10.0,-7.5,MCF7_core,255.86239582812226
232.5,10.0,7.5,MCF7_core,1064.7539929691766
232.5,30.0,-7.5,MCF7_core,1667.1962880708743
232.5,30.0,7.5,MCF7_core,1264.4757879964272
232.5,50.0,-7.5,MCF7_core,2951.8459809080073
232.5,50.0,7.5,MCF7_core,1854.792088555856
247.5,-50.0,-7.5,MCF7_core,3961.0200961848504
247.5,-50.0,7.5,MCF7_core,2658.2483943750317
247.5,-30.0,-7.5,MCF7_core,2006.4002406593154
247.5,-30.0,7.5,MCF7_core,1954.9319450898736
247.5,-10.0,-7.5,MCF7_core,3225.017239553997
247.5,-10.0,7.5,MCF7_core,2022.5969406493978
247.5,10.0,-7.5,MCF7_core,3056.978130071191
247.5,10.0,7.5,MCF7_core,447.73651251963327
247.5,30.0,-7.5,MCF7_core,2137.6042139698948
247.5,30.0,7.5,MCF7_core,1348.4703100315353
247.5,50.0,-7.5,MCF7_core,917.9595284841736
247.5,50.0,7.5,MCF7_core,2486.2045572846528
262.5,-50.0,-7.5,MCF7_core,2315.3086954124824
262.5,-50.0,7.5,MCF7_core,2629.6446036200473
262.5,-30.0,-7.5,MCF7_core,3452.5043162233624
262.5,-30.0,7.5,MCF7_core,3996.853878983642
262.5,-10.0,-7.5,MCF7_core,2346.3316058571413
262.5,-10.0,7.5,MCF7_core,1572.4645531582582
262.5,10.0,-7.5,MCF7_core,2228.9296994476294
262.5,10.0,7.5,MCF7_core,3679.5926260364645
262.5,30.0,-7.5,MCF7_core,3959.2942422100537
262.5,30.0,7.5,MCF7_core,3693.876830235866
262.5,50.0,-7.5,MCF7_core,1046.4878865167007
262.5,50.0,7.5,MCF7_core,4486.742440018709
277.5,-50.0,-7.5,MCF7_core,2933.56972430161
277.5,-50.0,7.5,MCF7_core,603.2835993350571
277.5,-30.0,-7.5,MCF7_core,3325.6053562848724
277.5,-30.0,7.5,MCF7_core,4433.325711773702
277.5,-10.0,-7.5,MCF7_core,1953.0229628167424
277.5,-10.0,7.5,MCF7_core,3126.1679192248976
277.5,10.0,-7.5,MCF7_core,1589.9278263910473
277.5,10.0,7.5,MCF7_core,1154.7018622218986
277.5,30.0,-7.5,MCF7_core,3290.710902810136
277.5,30.0,7.5,MCF7_core,259.39560289711665
277.5,50.0,-7.5,MCF7_core,3737.6166343710966
277.5,50.0,7.5,MCF7_core,2489.4812726901496
292.5,-50.0,-7.5,MCF7_core,663.9860523664354
292.5,-50.0,7.5,MCF7_core,753.5287331083654
292.5,-30.0,-7.5,MCF7_core,3002.1555484747123
292.5,-30.0,7.5,MCF7_core,3953.5174825726717
292.5,-10.0,-7.5,MCF7_core,1436.4708351572745
292.5,-10.0,7.5,MCF7_core,4398.108688881853
292.5,10.0,-7.5,MCF7_core,674.1460854923135
292.5,10.0,7.5,MCF7_core,3869.9267970707947
292.5,30.0,-7.5,MCF7_core,1931.3124526475688
292.5,30.0,7.5,MCF7_core,594.2882980139592
292.5,50.0,-7.5,MCF7_core,1414.1317533289875
292.5,50.0,7.5,MCF7_core,2169.936907990993
